time,frequency,confidence
0.000,604.002,0.050629
0.010,657.511,0.087649
0.020,663.346,0.042474
0.030,674.859,0.047279
0.040,43.136,0.379800
0.050,43.265,0.595615
0.060,43.179,0.380108
0.070,43.256,0.447478
0.080,43.220,0.691848
0.090,43.133,0.446145
0.100,43.209,0.670196
0.110,43.203,0.462660
0.120,43.289,0.542259
0.130,43.237,0.380909
0.140,43.282,0.334674
0.150,43.328,0.605361
0.160,43.279,0.399585
0.170,43.382,0.357981
0.180,129.652,0.106868
0.190,128.930,0.056689
0.200,322.092,0.051044
0.210,325.235,0.383761
0.220,328.600,0.514876
0.230,322.289,0.615072
0.240,320.631,0.224376
0.250,275.499,0.204250
0.260,278.001,0.177506
0.270,281.002,0.091491
0.280,278.695,0.045272
0.290,219.006,0.029226
0.300,332.377,0.064431
0.310,331.491,0.078500
0.320,85.485,0.076366
0.330,83.767,0.171452
0.340,82.504,0.405370
0.350,81.911,0.349402
0.360,326.209,0.568229
0.370,328.249,0.643452
0.380,329.845,0.623260
0.390,330.918,0.723643
0.400,330.004,0.823118
0.410,329.463,0.721856
0.420,330.416,0.578094
0.430,330.228,0.330014
0.440,80.877,0.437066
0.450,328.737,0.452042
0.460,81.917,0.371338
0.470,328.351,0.051961
0.480,32.664,0.082174
0.490,32.601,0.353413
0.500,32.763,0.730008
0.510,33.099,0.362749
0.520,167.028,0.499759
0.530,164.798,0.496516
0.540,163.008,0.363736
0.550,160.800,0.159697
0.560,1321.662,0.119322
0.570,1192.874,0.099431
0.580,1167.025,0.075486
0.590,1169.719,0.179396
0.600,1169.877,0.138693
0.610,1172.488,0.243731
0.620,1173.137,0.152053
0.630,164.421,0.190506
0.640,165.913,0.412722
0.650,166.514,0.578222
0.660,167.413,0.520584
0.670,167.996,0.657554
0.680,168.347,0.461079
0.690,166.180,0.077986
0.700,33.591,0.126646
0.710,32.769,0.124464
0.720,32.937,0.076464
0.730,1946.601,0.031627
0.740,324.233,0.192891
0.750,322.836,0.143542
0.760,167.237,0.162058
0.770,163.177,0.278405
0.780,161.267,0.289043
0.790,161.447,0.313341
0.800,319.087,0.210554
0.810,323.877,0.150695
0.820,321.658,0.302392
0.830,324.218,0.606201
0.840,324.001,0.746128
0.850,324.371,0.753893
0.860,324.584,0.740414
0.870,326.511,0.555184
0.880,326.613,0.338235
0.890,327.425,0.256573
0.900,323.010,0.677447
0.910,324.898,0.621431
0.920,323.218,0.767944
0.930,322.742,0.747416
0.940,324.490,0.651654
0.950,160.722,0.572025
0.960,159.529,0.642660
0.970,159.790,0.635095
0.980,160.639,0.487618
0.990,163.216,0.286296
1.000,183.496,0.212453
1.010,182.718,0.244835
1.020,178.515,0.258467
1.030,178.020,0.328311
1.040,178.530,0.235114
1.050,185.010,0.226166
1.060,183.163,0.243932
1.070,164.651,0.368813
1.080,172.049,0.434645
1.090,168.630,0.554536
1.100,165.625,0.801990
1.110,165.293,0.790766
1.120,165.876,0.681015
1.130,165.239,0.580996
1.140,163.554,0.404560
1.150,32.441,0.562640
1.160,165.456,0.622558
1.170,169.176,0.411145
1.180,172.206,0.401736
1.190,168.445,0.461175
1.200,166.118,0.124368
1.210,165.316,0.126968
1.220,165.620,0.127895
1.230,166.171,0.070777
1.240,32.786,0.103711
1.250,32.523,0.311278
1.260,32.660,0.539877
1.270,33.161,0.474090
1.280,163.365,0.055920
1.290,76.915,0.103820
1.300,312.459,0.157252
1.310,77.635,0.349933
1.320,231.195,0.151947
1.330,163.901,0.307379
1.340,164.103,0.432153
1.350,164.118,0.503514
1.360,164.275,0.574273
1.370,165.821,0.476247
1.380,166.911,0.383949
1.390,165.769,0.140521
1.400,33.627,0.086102
1.410,33.738,0.166339
1.420,33.550,0.357464
1.430,33.425,0.358617
1.440,167.289,0.377855
1.450,172.119,0.403228
1.460,175.789,0.545707
1.470,176.058,0.642719
1.480,176.459,0.534311
1.490,172.343,0.363043
1.500,167.676,0.368318
1.510,164.243,0.233909
1.520,162.294,0.124628
1.530,168.229,0.230352
1.540,169.217,0.227108
1.550,329.252,0.263896
1.560,332.867,0.245647
1.570,333.299,0.050920
1.580,44.731,0.085779
1.590,44.703,0.279797
1.600,320.353,0.452069
1.610,325.673,0.183574
1.620,327.375,0.150079
1.630,166.059,0.187834
1.640,165.370,0.390710
1.650,166.617,0.479709
1.660,166.795,0.592615
1.670,165.645,0.754669
1.680,164.495,0.795726
1.690,163.712,0.673880
1.700,82.039,0.516372
1.710,164.359,0.776938
1.720,164.204,0.740513
1.730,163.703,0.693186
1.740,163.872,0.796899
1.750,162.954,0.734821
1.760,160.932,0.470962
1.770,154.173,0.125516
1.780,147.156,0.028996
1.790,37.065,0.072658
1.800,46.583,0.101658
1.810,46.264,0.426705
1.820,46.329,0.110379
1.830,37.305,0.032948
1.840,176.582,0.131772
1.850,164.948,0.302905
1.860,165.900,0.517005
1.870,165.421,0.518481
1.880,166.140,0.455947
1.890,176.437,0.325423
1.900,175.608,0.369868
1.910,35.083,0.382449
1.920,172.946,0.151850
