time,frequency,confidence
0.000,603.517,0.059137
0.010,656.666,0.083447
0.020,663.508,0.057121
0.030,697.069,0.014953
0.040,1048.355,0.027473
0.050,1040.519,0.053397
0.060,1042.584,0.048362
0.070,635.352,0.046717
0.080,1038.526,0.050153
0.090,1236.181,0.023817
0.100,635.980,0.092715
0.110,660.126,0.072395
0.120,1035.947,0.064403
0.130,1038.886,0.051911
0.140,1035.692,0.094529
0.150,1018.912,0.059340
0.160,1272.045,0.013956
0.170,643.077,0.098330
0.180,642.640,0.068193
0.190,647.489,0.059418
0.200,1047.426,0.028269
0.210,1874.398,0.030283
0.220,636.439,0.027438
0.230,139.143,0.063986
0.240,45.876,0.326405
0.250,46.122,0.199220
0.260,139.026,0.178864
0.270,138.839,0.063369
0.280,40.896,0.059524
0.290,151.421,0.073177
0.300,43.218,0.608760
0.310,43.241,0.883426
0.320,43.308,0.915525
0.330,43.110,0.880056
0.340,43.294,0.905125
0.350,43.324,0.911200
0.360,43.383,0.902694
0.370,43.377,0.855120
0.380,43.208,0.797547
0.390,43.424,0.855074
0.400,42.951,0.686378
0.410,43.467,0.890706
0.420,43.071,0.467635
0.430,43.382,0.510240
0.440,44.210,0.215381
0.450,120.742,0.074485
0.460,119.703,0.209448
0.470,119.870,0.330088
0.480,138.364,0.096326
0.490,123.824,0.099731
0.500,44.652,0.056413
0.510,43.422,0.428893
0.520,42.765,0.728888
0.530,43.221,0.848611
0.540,43.062,0.862818
0.550,43.250,0.898943
0.560,43.113,0.871229
0.570,43.200,0.883475
0.580,43.140,0.896915
0.590,43.100,0.876056
0.600,43.091,0.884853
0.610,43.084,0.867710
0.620,42.989,0.841110
0.630,43.053,0.881921
0.640,43.087,0.857478
0.650,43.096,0.897140
0.660,43.059,0.887451
0.670,43.035,0.877734
0.680,42.949,0.873014
0.690,42.745,0.870174
0.700,42.821,0.881417
0.710,42.751,0.862614
0.720,43.006,0.876337
0.730,43.139,0.891005
0.740,43.115,0.902749
0.750,42.979,0.889184
0.760,42.899,0.875966
0.770,42.902,0.838280
0.780,42.866,0.849409
0.790,43.088,0.854847
0.800,43.060,0.811485
0.810,43.088,0.878217
0.820,42.984,0.853554
0.830,43.149,0.897368
0.840,43.115,0.893831
0.850,43.145,0.896153
0.860,43.006,0.881411
0.870,42.878,0.821844
0.880,42.903,0.862558
0.890,42.912,0.883123
0.900,43.025,0.876035
0.910,42.988,0.857408
0.920,43.006,0.858295
0.930,42.962,0.793775
0.940,43.081,0.686539
0.950,43.471,0.829232
0.960,43.226,0.765945
0.970,43.839,0.842546
0.980,43.355,0.513493
0.990,43.565,0.864520
1.000,43.056,0.671248
1.010,43.245,0.855929
1.020,43.442,0.828490
1.030,42.809,0.759928
1.040,43.099,0.844444
1.050,43.127,0.599692
1.060,43.145,0.893633
1.070,42.919,0.812845
1.080,43.089,0.848553
1.090,43.090,0.795932
1.100,43.152,0.852865
1.110,42.985,0.853728
1.120,42.935,0.779030
1.130,43.020,0.819906
1.140,42.870,0.822252
1.150,42.827,0.834418
1.160,42.864,0.746036
1.170,42.615,0.642042
1.180,43.279,0.826711
1.190,43.016,0.227199
1.200,44.146,0.189732
1.210,160.115,0.048054
1.220,286.159,0.134687
1.230,287.932,0.047866
1.240,283.819,0.013499
1.250,1456.143,0.016797
1.260,54.550,0.021923
1.270,719.903,0.068444
1.280,49.013,0.060558
1.290,492.915,0.029242
1.300,1959.679,0.020285
1.310,1959.688,0.020274
1.320,1959.694,0.020289
1.330,1959.699,0.020299
1.340,1959.703,0.020308
1.350,1959.702,0.020322
1.360,1959.697,0.020326
1.370,1959.692,0.020342
1.380,1959.693,0.020344
1.390,1959.693,0.020343
1.400,1959.689,0.020341
1.410,1959.686,0.020332
1.420,1959.683,0.020288
1.430,1959.677,0.020255
1.440,1959.675,0.020231
1.450,1959.671,0.020225
1.460,1959.668,0.020213
1.470,1959.667,0.020201
1.480,1959.666,0.020213
1.490,1959.674,0.020234
1.500,1959.679,0.020262
1.510,1959.685,0.020261
1.520,1959.679,0.020295
1.530,1959.684,0.020306
1.540,1959.673,0.020283
1.550,1959.658,0.020259
1.560,1959.654,0.020225
1.570,1959.647,0.020247
1.580,1959.640,0.020268
1.590,1959.638,0.020296
1.600,1049.797,0.021764
1.610,588.308,0.020609
1.620,1164.793,0.011267
1.630,45.023,0.072859
1.640,44.476,0.404378
