time,frequency,confidence
0.000,177.827,0.097509
0.010,176.429,0.053526
0.020,43.180,0.017846
0.030,43.227,0.889902
0.040,43.192,0.895607
0.050,43.138,0.855058
0.060,43.068,0.836214
0.070,43.002,0.817198
0.080,43.113,0.820217
0.090,43.117,0.869447
0.100,43.180,0.807024
0.110,43.178,0.872104
0.120,43.030,0.823885
0.130,43.024,0.831010
0.140,43.100,0.853915
0.150,43.087,0.844835
0.160,43.162,0.896654
0.170,43.154,0.768112
0.180,43.108,0.853455
0.190,42.974,0.815193
0.200,43.069,0.849925
0.210,43.105,0.837231
0.220,43.098,0.840459
0.230,43.152,0.889713
0.240,43.027,0.798048
0.250,43.015,0.871505
0.260,43.116,0.859439
0.270,43.170,0.868573
0.280,43.112,0.844214
0.290,43.077,0.790374
0.300,43.039,0.861844
0.310,42.985,0.802608
0.320,43.092,0.869640
0.330,43.224,0.840378
0.340,43.158,0.864891
0.350,43.062,0.861315
0.360,43.011,0.837540
0.370,43.152,0.908406
0.380,43.191,0.850040
0.390,43.177,0.893261
0.400,43.213,0.839349
0.410,43.074,0.842825
0.420,43.046,0.845823
0.430,43.009,0.837474
0.440,43.140,0.884115
0.450,43.153,0.833198
0.460,43.163,0.904014
0.470,43.143,0.855438
0.480,43.101,0.861416
0.490,43.088,0.868850
0.500,43.135,0.858037
0.510,43.105,0.867422
0.520,43.142,0.824104
0.530,43.117,0.880355
0.540,43.044,0.857028
0.550,43.089,0.868608
0.560,43.129,0.890699
0.570,43.177,0.880024
0.580,43.143,0.894783
0.590,43.146,0.827127
0.600,43.077,0.860714
0.610,43.041,0.857665
0.620,43.155,0.887271
0.630,43.216,0.868483
0.640,43.164,0.871595
0.650,43.098,0.870149
0.660,43.021,0.812234
0.670,43.064,0.873469
0.680,43.168,0.876183
0.690,43.215,0.898768
0.700,43.161,0.854582
0.710,43.116,0.827646
0.720,42.963,0.818076
0.730,43.046,0.841980
0.740,43.136,0.874703
0.750,43.240,0.859237
0.760,43.164,0.893098
0.770,43.042,0.862366
0.780,43.019,0.855204
0.790,43.142,0.876014
0.800,43.155,0.854217
0.810,43.155,0.889505
0.820,43.158,0.801338
0.830,43.100,0.873248
0.840,42.972,0.834740
0.850,43.051,0.858657
0.860,43.148,0.857174
0.870,43.150,0.856684
0.880,43.158,0.906473
0.890,43.093,0.811225
0.900,43.051,0.869994
0.910,43.064,0.860163
0.920,43.141,0.872095
0.930,43.112,0.859769
0.940,43.049,0.832122
0.950,43.105,0.890813
0.960,43.051,0.844587
0.970,43.040,0.879675
0.980,43.116,0.873168
0.990,43.152,0.887007
1.000,43.160,0.878804
1.010,43.075,0.841377
1.020,43.142,0.894737
1.030,43.112,0.822805
1.040,43.118,0.880664
1.050,43.166,0.835599
1.060,43.158,0.872275
1.070,43.138,0.833623
1.080,43.117,0.810240
1.090,43.280,0.856904
1.100,43.237,0.801031
1.110,43.193,0.860010
1.120,43.242,0.751684
1.130,43.112,0.785559
1.140,43.105,0.680312
1.150,43.138,0.772045
1.160,43.237,0.736393
1.170,43.257,0.690223
1.180,43.130,0.746902
1.190,43.029,0.611593
1.200,43.041,0.661180
1.210,43.156,0.601344
1.220,43.266,0.656297
1.230,43.221,0.434222
1.240,43.290,0.492095
1.250,43.214,0.615233
1.260,43.251,0.530528
1.270,43.349,0.598116
1.280,43.180,0.440899
1.290,43.151,0.641184
1.300,43.182,0.430515
1.310,43.192,0.402708
1.320,43.078,0.511453
1.330,43.215,0.597035
1.340,43.204,0.507967
1.350,1411.242,0.101183
1.360,43.090,0.360936
1.370,42.949,0.299362
1.380,43.106,0.339456
1.390,43.057,0.365163
1.400,43.142,0.462004
1.410,43.057,0.507125
1.420,42.915,0.385127
1.430,43.055,0.538294
1.440,42.966,0.318650
1.450,43.089,0.286664
1.460,43.109,0.237155
1.470,1393.050,0.163584
1.480,1400.128,0.119309
1.490,1404.651,0.168872
1.500,43.056,0.109511
1.510,1310.113,0.093698
1.520,1294.581,0.135765
1.530,1269.060,0.089611
1.540,1261.158,0.218568
1.550,43.101,0.093426
1.560,42.927,0.239442
1.570,43.132,0.169924
1.580,54.649,0.068853
1.590,1275.310,0.097558
1.600,1297.510,0.086009
1.610,1270.460,0.154671
1.620,1259.239,0.159766
1.630,1257.011,0.244093
1.640,213.842,0.208260
1.650,1258.750,0.422984
1.660,1382.318,0.271700
1.670,1392.252,0.443453
1.680,1399.398,0.366677
1.690,1403.271,0.429310
1.700,1406.100,0.438128
1.710,1414.215,0.086583
1.720,218.019,0.166878
1.730,1252.003,0.118664
1.740,218.355,0.169871
1.750,214.353,0.369767
1.760,216.110,0.112807
