time,frequency,confidence
0.000,650.012,0.054837
0.010,650.511,0.066243
0.020,647.550,0.076518
0.030,216.647,0.084985
0.040,43.118,0.915474
0.050,43.112,0.911701
0.060,43.080,0.879260
0.070,43.149,0.894160
0.080,43.159,0.877441
0.090,43.069,0.913562
0.100,43.028,0.900875
0.110,43.050,0.892772
0.120,43.044,0.904215
0.130,43.024,0.863121
0.140,43.138,0.921409
0.150,43.069,0.881514
0.160,43.096,0.916551
0.170,43.100,0.907356
0.180,43.123,0.894428
0.190,43.136,0.906043
0.200,43.110,0.866371
0.210,43.123,0.905809
0.220,43.020,0.757385
0.230,43.009,0.798244
0.240,42.949,0.828672
0.250,43.103,0.871013
0.260,43.144,0.892707
0.270,43.102,0.882645
0.280,43.146,0.882122
0.290,43.183,0.840738
0.300,43.235,0.853747
0.310,43.197,0.854697
0.320,43.332,0.914378
0.330,43.102,0.877074
0.340,43.001,0.581654
0.350,194.674,0.037457
0.360,38.347,0.241937
0.370,38.301,0.123969
0.380,44.291,0.286244
0.390,220.737,0.153184
0.400,324.352,0.139933
0.410,37.771,0.056261
0.420,33.425,0.093627
0.430,33.883,0.015572
0.440,54.375,0.072795
0.450,81.393,0.072162
0.460,271.164,0.049012
0.470,199.784,0.073894
0.480,178.427,0.111483
0.490,174.462,0.216647
0.500,177.860,0.184920
0.510,178.976,0.273808
0.520,174.366,0.292373
0.530,168.102,0.442670
0.540,168.001,0.371384
0.550,167.488,0.258911
0.560,239.709,0.071047
0.570,298.368,0.174701
0.580,304.033,0.282028
0.590,305.645,0.350831
0.600,309.143,0.367041
0.610,257.296,0.105474
0.620,128.367,0.135363
0.630,133.006,0.036856
0.640,44.339,0.041369
0.650,44.924,0.045000
0.660,138.318,0.078125
0.670,45.441,0.042182
0.680,33.072,0.272599
0.690,32.615,0.052391
0.700,48.813,0.034458
0.710,664.206,0.033694
0.720,391.685,0.092894
0.730,33.989,0.033135
0.740,165.006,0.040144
0.750,141.067,0.218569
0.760,141.899,0.280479
0.770,320.434,0.164322
0.780,145.579,0.219129
0.790,138.711,0.083673
0.800,169.108,0.058276
0.810,163.889,0.042722
0.820,33.183,0.008999
0.830,174.490,0.087195
0.840,125.407,0.055696
0.850,42.497,0.029590
0.860,42.632,0.052192
0.870,262.872,0.039758
0.880,216.718,0.205921
0.890,35.318,0.232776
0.900,43.443,0.472107
0.910,43.239,0.822962
0.920,43.029,0.665540
0.930,42.767,0.728555
0.940,42.662,0.680031
0.950,42.696,0.665087
0.960,43.166,0.735672
0.970,43.402,0.672250
0.980,43.394,0.500419
0.990,310.122,0.207856
1.000,43.332,0.206499
1.010,310.083,0.125432
1.020,43.337,0.405656
1.030,42.969,0.306554
1.040,42.954,0.076895
1.050,43.094,0.194381
1.060,43.097,0.417421
1.070,43.054,0.783818
1.080,43.057,0.683424
1.090,43.271,0.793875
1.100,43.211,0.833239
1.110,43.019,0.661865
1.120,42.996,0.859713
1.130,42.903,0.798750
1.140,43.123,0.496650
1.150,43.346,0.253564
1.160,258.073,0.218830
1.170,300.792,0.209306
1.180,294.880,0.232692
1.190,577.388,0.220390
1.200,577.065,0.195918
1.210,579.076,0.129050
1.220,355.165,0.071557
1.230,359.812,0.474403
1.240,363.958,0.840432
1.250,368.002,0.685944
1.260,384.629,0.872894
1.270,385.058,0.953380
1.280,387.443,0.903241
1.290,393.408,0.946951
1.300,398.477,0.959219
1.310,399.167,0.941367
1.320,394.491,0.918658
1.330,388.427,0.891889
1.340,385.464,0.756366
1.350,390.217,0.295188
1.360,389.981,0.625127
1.370,388.211,0.901314
1.380,388.075,0.888943
1.390,390.998,0.907538
1.400,395.026,0.939658
1.410,397.036,0.950486
1.420,394.815,0.926493
1.430,390.730,0.889063
1.440,388.957,0.848893
1.450,390.379,0.814018
1.460,388.852,0.873378
1.470,389.858,0.863952
1.480,393.080,0.929847
1.490,391.610,0.856846
1.500,305.351,0.177036
1.510,349.070,0.220019
1.520,350.483,0.586749
1.530,355.287,0.811922
1.540,359.178,0.896282
1.550,363.603,0.851234
1.560,374.447,0.711558
1.570,384.590,0.914860
1.580,390.309,0.926455
1.590,393.426,0.966796
1.600,396.873,0.957891
1.610,401.329,0.935652
1.620,402.538,0.923928
1.630,398.014,0.807071
1.640,386.053,0.418417
1.650,359.884,0.632224
1.660,353.971,0.842793
1.670,350.301,0.665251
1.680,392.183,0.741085
1.690,392.101,0.925939
1.700,394.117,0.910303
1.710,399.493,0.895380
1.720,400.317,0.907311
1.730,396.616,0.882262
1.740,391.906,0.717058
1.750,355.969,0.307160
1.760,351.483,0.503250
1.770,350.387,0.129165
1.780,393.709,0.245205
1.790,394.776,0.597801
1.800,389.555,0.113853
1.810,293.586,0.301663
1.820,294.114,0.155849
1.830,391.990,0.244613
1.840,391.311,0.304510
1.850,391.093,0.306350
1.860,389.130,0.310962
1.870,374.843,0.438428
1.880,377.041,0.411450
1.890,507.663,0.206754
1.900,299.597,0.261438
1.910,295.575,0.241824
1.920,234.474,0.229824
1.930,388.462,0.149933
1.940,389.112,0.294195
1.950,392.631,0.538828
1.960,398.425,0.163421
1.970,393.960,0.186000
1.980,394.786,0.394390
1.990,395.666,0.625329
2.000,393.711,0.662447
2.010,392.497,0.364905
2.020,391.587,0.208411
2.030,393.714,0.289497
2.040,1182.640,0.454692
2.050,1188.631,0.486645
2.060,1184.121,0.461027
2.070,1177.365,0.308169
2.080,43.313,0.364835
2.090,43.127,0.203829
2.100,387.112,0.349152
2.110,389.077,0.327048
2.120,392.234,0.294160
2.130,43.198,0.569247
2.140,43.165,0.466444
2.150,43.098,0.701195
2.160,43.202,0.785901
2.170,43.219,0.775376
2.180,43.168,0.666958
2.190,43.195,0.592595
2.200,43.225,0.198426
2.210,295.602,0.412466
2.220,291.519,0.360727
