time,frequency,confidence
0.000,645.776,0.125463
0.010,647.278,0.140482
0.020,665.750,0.034381
0.030,43.390,0.906430
0.040,43.305,0.927755
0.050,43.415,0.942194
0.060,43.406,0.903675
0.070,43.361,0.947516
0.080,43.398,0.918308
0.090,43.348,0.914391
0.100,43.380,0.917543
0.110,43.358,0.879165
0.120,43.436,0.917313
0.130,43.430,0.840321
0.140,43.423,0.932402
0.150,43.318,0.847500
0.160,43.334,0.894087
0.170,43.347,0.861073
0.180,43.359,0.828043
0.190,43.428,0.882506
0.200,43.370,0.817942
0.210,43.443,0.923541
0.220,43.344,0.793910
0.230,43.398,0.880466
0.240,43.391,0.801860
0.250,43.410,0.852533
0.260,43.412,0.901302
0.270,43.349,0.801381
0.280,43.405,0.926032
0.290,43.358,0.748972
0.300,43.411,0.866379
0.310,43.371,0.615218
0.320,43.417,0.766976
0.330,43.386,0.848753
0.340,43.263,0.734795
0.350,43.447,0.891687
0.360,43.363,0.750176
0.370,43.405,0.902522
0.380,43.315,0.795072
0.390,43.369,0.856394
0.400,43.390,0.887001
0.410,43.355,0.768545
0.420,43.502,0.881331
0.430,43.437,0.764170
0.440,43.529,0.918436
0.450,43.359,0.803751
0.460,43.427,0.870276
0.470,43.418,0.863182
0.480,43.325,0.800553
0.490,43.396,0.851207
0.500,43.411,0.613254
0.510,43.481,0.769270
0.520,43.176,0.316732
0.530,275.049,0.190091
0.540,272.599,0.317873
0.550,262.193,0.135191
0.560,263.760,0.211477
0.570,149.563,0.154450
0.580,541.761,0.105697
0.590,123.543,0.251936
0.600,182.522,0.317679
0.610,122.989,0.422950
0.620,181.515,0.455755
0.630,121.676,0.287838
0.640,60.747,0.677213
0.650,61.472,0.852554
0.660,61.638,0.918460
0.670,61.596,0.920743
0.680,61.592,0.927845
0.690,61.647,0.936333
0.700,61.817,0.953939
0.710,61.841,0.950698
0.720,61.662,0.941256
0.730,61.591,0.939143
0.740,61.535,0.929320
0.750,61.417,0.904103
0.760,61.523,0.909119
0.770,61.464,0.905096
0.780,61.530,0.919428
0.790,61.521,0.920586
0.800,61.439,0.908950
0.810,61.323,0.878503
0.820,61.502,0.912590
0.830,61.525,0.891003
0.840,61.657,0.924816
0.850,61.540,0.906856
0.860,61.408,0.900909
0.870,61.395,0.887774
0.880,61.402,0.889072
0.890,61.387,0.886541
0.900,61.389,0.896846
0.910,61.013,0.856220
0.920,60.782,0.659097
0.930,184.048,0.305245
0.940,184.535,0.199747
0.950,123.721,0.147395
0.960,31.876,0.165106
0.970,61.458,0.647586
0.980,61.509,0.768016
