time,frequency,confidence
0.000,645.646,0.138824
0.010,647.143,0.208108
0.020,656.608,0.123917
0.030,42.758,0.610459
0.040,42.965,0.789208
0.050,42.938,0.823340
0.060,43.142,0.870394
0.070,43.093,0.885393
0.080,43.129,0.905426
0.090,43.234,0.839320
0.100,43.144,0.891923
0.110,43.163,0.873295
0.120,43.022,0.859087
0.130,43.100,0.892518
0.140,42.981,0.865780
0.150,43.024,0.869466
0.160,43.103,0.849894
0.170,43.036,0.895173
0.180,43.158,0.876549
0.190,43.139,0.868749
0.200,43.210,0.899749
0.210,43.175,0.855117
0.220,43.143,0.882699
0.230,43.071,0.821699
0.240,42.984,0.865388
0.250,43.038,0.858904
0.260,42.934,0.852065
0.270,43.167,0.898353
0.280,43.151,0.881475
0.290,43.061,0.870288
0.300,43.077,0.853127
0.310,43.145,0.885268
0.320,43.218,0.873594
0.330,43.101,0.861986
0.340,43.139,0.896764
0.350,43.066,0.854617
0.360,42.907,0.831570
0.370,42.952,0.859903
0.380,43.031,0.880807
0.390,43.193,0.857920
0.400,43.141,0.851899
0.410,43.168,0.842500
0.420,43.148,0.855477
0.430,43.179,0.888122
0.440,43.067,0.849699
0.450,43.045,0.871016
0.460,43.043,0.830465
0.470,42.939,0.847281
0.480,43.044,0.842738
0.490,42.916,0.787828
0.500,42.810,0.797829
0.510,42.957,0.645406
0.520,43.321,0.168336
0.530,225.211,0.424477
0.540,442.522,0.125470
0.550,431.109,0.161610
0.560,551.176,0.196847
0.570,289.579,0.175124
0.580,299.061,0.233250
0.590,183.364,0.021601
0.600,32.907,0.026936
0.610,139.798,0.046654
0.620,138.517,0.112353
0.630,141.136,0.107377
0.640,32.052,0.048655
0.650,88.604,0.074983
0.660,84.222,0.439410
0.670,76.982,0.430609
0.680,72.572,0.386742
0.690,68.526,0.276117
0.700,64.607,0.566866
0.710,61.657,0.686659
0.720,59.248,0.690505
0.730,57.043,0.627804
0.740,55.023,0.817247
0.750,52.051,0.786980
0.760,50.594,0.676924
0.770,49.315,0.838111
0.780,48.424,0.719522
0.790,47.441,0.706535
0.800,46.677,0.756114
0.810,46.240,0.804785
0.820,45.428,0.398779
0.830,44.913,0.426326
0.840,44.371,0.268239
0.850,44.012,0.221959
0.860,43.837,0.092400
0.870,1880.272,0.050921
0.880,1881.029,0.063504
0.890,1878.825,0.113017
0.900,657.706,0.082258
0.910,363.138,0.182181
0.920,262.942,0.119957
0.930,32.598,0.020571
0.940,1116.617,0.017896
0.950,1111.920,0.028136
0.960,142.810,0.040125
0.970,147.673,0.037550
0.980,32.283,0.034108
0.990,85.979,0.519730
1.000,81.564,0.317551
1.010,76.853,0.389472
1.020,70.605,0.461912
1.030,66.170,0.469163
1.040,64.228,0.701548
1.050,61.520,0.774429
1.060,59.779,0.658139
1.070,56.575,0.615821
1.080,53.472,0.574532
1.090,51.734,0.791088
1.100,49.888,0.805813
1.110,49.210,0.853372
1.120,48.246,0.746037
1.130,47.602,0.717328
1.140,46.706,0.803279
1.150,46.234,0.844283
1.160,45.336,0.527993
1.170,45.220,0.514277
1.180,44.777,0.363109
1.190,44.150,0.388518
1.200,43.691,0.366077
1.210,41.359,0.170324
1.220,41.381,0.332533
1.230,43.768,0.039436
1.240,867.055,0.063474
1.250,867.969,0.041047
1.260,863.904,0.017310
1.270,870.175,0.035491
1.280,873.276,0.008459
1.290,876.179,0.010821
1.300,1254.741,0.007593
1.310,1266.960,0.014268
1.320,1261.304,0.014502
1.330,1971.558,0.020207
1.340,1970.621,0.017190
1.350,1974.868,0.033117
1.360,1972.861,0.025713
1.370,1974.520,0.015402
1.380,1959.455,0.010839
1.390,1902.566,0.005248
1.400,1879.311,0.017658
1.410,178.875,0.296535
1.420,178.029,0.554575
1.430,177.239,0.077174
1.440,192.662,0.032491
1.450,191.399,0.052941
1.460,195.682,0.137347
1.470,196.946,0.077865
1.480,32.014,0.081442
1.490,32.177,0.078839
1.500,32.349,0.027670
1.510,32.179,0.066031
1.520,32.367,0.100763
1.530,33.164,0.372166
1.540,32.814,0.731151
1.550,32.381,0.021879
1.560,76.166,0.021827
1.570,399.973,0.023699
1.580,32.230,0.102199
1.590,32.159,0.289841
1.600,32.567,0.248421
1.610,32.784,0.174718
1.620,32.717,0.184879
1.630,265.768,0.130836
1.640,255.803,0.422385
1.650,252.396,0.076168
1.660,250.583,0.012322
1.670,32.149,0.021716
1.680,32.857,0.052568
1.690,32.969,0.060099
1.700,32.236,0.100150
1.710,31.957,0.316472
1.720,32.197,0.387210
1.730,32.200,0.039923
1.740,1943.058,0.032500
1.750,1939.067,0.024049
1.760,32.858,0.114817
1.770,32.881,0.193201
1.780,32.143,0.087910
1.790,213.978,0.280173
1.800,213.261,0.475595
1.810,215.752,0.168887
1.820,221.503,0.022606
1.830,225.880,0.064561
1.840,119.668,0.067787
1.850,119.446,0.049251
1.860,249.395,0.080474
1.870,250.487,0.079653
1.880,253.665,0.183476
1.890,219.693,0.271371
1.900,226.352,0.299037
1.910,547.602,0.131204
1.920,441.638,0.213477
1.930,281.451,0.213070
1.940,138.669,0.036562
1.950,162.619,0.036319
1.960,139.889,0.032123
1.970,140.401,0.089349
1.980,147.419,0.071837
1.990,32.089,0.093898
2.000,86.871,0.251737
2.010,82.390,0.374166
2.020,76.459,0.438463
2.030,72.525,0.375594
2.040,68.222,0.287105
2.050,64.476,0.520973
2.060,61.383,0.669648
2.070,59.054,0.725324
2.080,56.597,0.614698
2.090,54.279,0.679648
2.100,52.068,0.813321
2.110,50.396,0.723727
2.120,49.368,0.829876
2.130,48.405,0.735925
2.140,47.259,0.728954
2.150,46.427,0.777782
2.160,46.185,0.779733
2.170,45.621,0.453952
2.180,45.623,0.491478
2.190,44.497,0.220013
2.200,44.132,0.336379
2.210,43.800,0.125215
2.220,41.640,0.071879
2.230,1875.263,0.100587
2.240,1872.989,0.172965
2.250,1863.281,0.105699
2.260,355.359,0.205946
2.270,223.763,0.222835
2.280,167.367,0.060889
2.290,1853.469,0.032496
2.300,992.349,0.038274
2.310,141.331,0.042397
2.320,152.821,0.056366
2.330,32.140,0.054709
2.340,86.442,0.463222
2.350,79.698,0.447684
2.360,75.287,0.271544
2.370,70.297,0.546180
2.380,66.515,0.442786
2.390,63.659,0.659891
2.400,61.062,0.679954
2.410,58.592,0.675249
2.420,56.011,0.675229
2.430,53.158,0.490111
2.440,51.197,0.742708
2.450,49.557,0.819537
2.460,49.073,0.845580
2.470,48.384,0.765499
2.480,47.395,0.718421
2.490,46.582,0.839575
2.500,46.360,0.849796
2.510,45.887,0.701185
2.520,45.941,0.710658
2.530,45.380,0.412048
2.540,44.039,0.276994
2.550,43.663,0.351775
2.560,40.794,0.080265
2.570,41.351,0.087978
2.580,655.105,0.070138
2.590,659.125,0.149136
2.600,661.164,0.068605
2.610,1912.771,0.125981
2.620,1223.360,0.065325
2.630,1900.348,0.046294
2.640,1934.750,0.024847
2.650,1233.890,0.046436
2.660,632.860,0.093023
2.670,640.325,0.130616
2.680,634.387,0.137195
2.690,1922.115,0.113946
2.700,1227.985,0.117006
2.710,1894.660,0.086907
2.720,1886.863,0.053304
2.730,1179.045,0.062226
2.740,1199.357,0.023439
2.750,643.740,0.018607
2.760,1896.443,0.071515
2.770,1890.627,0.142970
2.780,1914.023,0.139400
2.790,1923.882,0.084867
2.800,31.941,0.049099
2.810,32.087,0.045804
2.820,1967.931,0.013632
2.830,1968.009,0.013026
2.840,1928.719,0.009765
2.850,1906.095,0.020944
2.860,661.223,0.020641
2.870,1296.737,0.018939
2.880,357.289,0.051787
2.890,32.004,0.049729
2.900,32.030,0.057089
2.910,32.115,0.101392
2.920,36.958,0.133008
2.930,37.068,0.080944
2.940,48.089,0.101517
2.950,48.120,0.047143
2.960,1965.303,0.007275
