time,frequency,confidence
0.000,632.805,0.044798
0.010,633.436,0.041376
0.020,53.757,0.014527
0.030,43.143,0.381279
0.040,43.143,0.631624
0.050,43.077,0.649154
0.060,43.164,0.678171
0.070,42.967,0.642852
0.080,43.105,0.810873
0.090,43.007,0.523410
0.100,43.081,0.756353
0.110,43.140,0.590965
0.120,43.068,0.595477
0.130,43.167,0.625206
0.140,43.079,0.598437
0.150,43.145,0.725162
0.160,43.094,0.416101
0.170,43.063,0.663017
0.180,43.179,0.520903
0.190,43.150,0.608744
0.200,43.152,0.598229
0.210,43.046,0.625259
0.220,43.059,0.616965
0.230,43.105,0.604194
0.240,43.197,0.557979
0.250,43.173,0.428608
0.260,43.081,0.589400
0.270,43.093,0.657067
0.280,43.106,0.615390
0.290,43.070,0.699863
0.300,43.105,0.597759
0.310,43.140,0.589756
0.320,43.129,0.445449
0.330,43.088,0.566720
0.340,43.134,0.613482
0.350,43.174,0.731105
0.360,43.161,0.681459
0.370,43.012,0.613156
0.380,43.011,0.631249
0.390,43.119,0.541691
0.400,43.165,0.660635
0.410,43.154,0.590054
0.420,43.078,0.661807
0.430,43.058,0.670290
0.440,42.981,0.658216
0.450,43.052,0.554598
0.460,43.212,0.581116
0.470,43.209,0.434911
0.480,43.342,0.130900
0.490,32.961,0.120165
0.500,897.027,0.148021
0.510,34.276,0.060143
0.520,48.967,0.050647
0.530,52.036,0.024990
0.540,261.143,0.046921
0.550,177.028,0.034226
0.560,43.801,0.063044
0.570,154.038,0.054687
0.580,356.930,0.085581
0.590,32.776,0.029538
0.600,33.156,0.059519
0.610,32.570,0.056488
0.620,54.542,0.039697
0.630,44.979,0.029062
0.640,45.623,0.054826
0.650,276.178,0.076033
0.660,275.763,0.215577
0.670,274.093,0.294739
0.680,272.927,0.382417
0.690,136.285,0.255900
0.700,220.975,0.160425
0.710,222.979,0.137920
0.720,224.930,0.138768
0.730,229.451,0.259901
0.740,229.206,0.276445
0.750,226.470,0.425556
0.760,220.498,0.197615
0.770,123.898,0.122380
0.780,61.715,0.280677
0.790,61.780,0.334649
0.800,123.804,0.357314
0.810,123.707,0.113128
0.820,1485.399,0.094043
0.830,1485.862,0.128652
0.840,1483.970,0.100504
0.850,124.125,0.142616
0.860,123.669,0.205297
0.870,122.866,0.122814
0.880,365.817,0.124761
0.890,122.571,0.039931
0.900,180.324,0.076785
0.910,179.711,0.044399
0.920,62.080,0.107876
0.930,246.246,0.052554
0.940,43.569,0.032158
0.950,289.498,0.033669
0.960,36.331,0.033141
0.970,219.085,0.108760
0.980,221.365,0.063627
0.990,43.795,0.023107
1.000,226.518,0.040752
1.010,223.489,0.051084
1.020,222.730,0.061226
1.030,125.391,0.128876
1.040,125.276,0.347504
1.050,123.745,0.207410
1.060,122.408,0.158135
1.070,121.837,0.052751
1.080,121.750,0.040658
1.090,121.993,0.097703
1.100,123.423,0.256359
1.110,124.265,0.409532
1.120,61.937,0.803913
1.130,61.815,0.778715
1.140,61.966,0.647483
1.150,62.010,0.701472
1.160,62.069,0.699863
1.170,61.860,0.846861
1.180,61.788,0.877789
1.190,61.805,0.883561
1.200,61.904,0.868255
1.210,61.932,0.856358
1.220,61.912,0.787189
1.230,62.002,0.762967
1.240,123.641,0.454102
1.250,61.794,0.488974
1.260,122.890,0.700190
1.270,123.320,0.650935
1.280,124.585,0.618333
1.290,124.540,0.538918
1.300,125.313,0.487575
1.310,125.241,0.368287
1.320,61.970,0.498917
1.330,124.463,0.289089
1.340,61.786,0.493922
1.350,124.179,0.352030
1.360,61.964,0.542226
1.370,123.664,0.212509
1.380,181.277,0.144919
1.390,181.599,0.238302
1.400,182.971,0.431201
1.410,182.915,0.308034
1.420,62.279,0.255859
1.430,61.952,0.167122
1.440,62.026,0.249150
1.450,61.935,0.220102
1.460,61.898,0.326969
1.470,61.949,0.556052
1.480,62.024,0.534980
1.490,61.764,0.596360
1.500,61.445,0.375471
1.510,61.529,0.543978
1.520,61.440,0.704058
1.530,61.472,0.758441
1.540,61.814,0.816796
1.550,61.846,0.721345
1.560,61.869,0.758179
1.570,61.749,0.339681
1.580,374.037,0.223769
1.590,372.068,0.134994
1.600,62.248,0.089236
1.610,125.116,0.165485
1.620,124.260,0.557036
1.630,123.344,0.658182
1.640,121.332,0.586096
1.650,181.985,0.349395
1.660,182.489,0.324537
1.670,182.117,0.290293
1.680,377.023,0.319875
1.690,375.812,0.477267
1.700,374.104,0.789085
1.710,371.992,0.793376
1.720,371.753,0.817118
1.730,373.306,0.675086
1.740,373.746,0.515318
1.750,370.041,0.307699
1.760,367.424,0.627921
1.770,364.818,0.755051
1.780,364.469,0.705818
1.790,367.344,0.644490
1.800,125.038,0.236980
1.810,126.610,0.249373
1.820,126.853,0.290022
1.830,125.680,0.169426
1.840,239.021,0.232581
1.850,141.372,0.304079
1.860,144.517,0.579357
1.870,148.485,0.467571
1.880,252.393,0.364215
1.890,233.264,0.285507
1.900,238.593,0.288650
1.910,235.234,0.254186
1.920,241.059,0.234587
1.930,334.279,0.271072
1.940,32.307,0.120434
1.950,32.178,0.107417
1.960,54.018,0.042513
1.970,32.742,0.084163
1.980,32.903,0.144053
1.990,232.595,0.081992
2.000,118.621,0.085952
2.010,120.431,0.169688
2.020,120.941,0.266506
2.030,121.323,0.237398
2.040,278.938,0.243689
2.050,193.373,0.344553
2.060,191.293,0.269265
2.070,187.764,0.166544
2.080,238.255,0.161433
2.090,120.777,0.247736
2.100,122.330,0.264942
2.110,123.572,0.544810
2.120,123.845,0.596370
2.130,123.741,0.654210
2.140,123.359,0.752199
2.150,122.769,0.861162
2.160,122.146,0.858167
2.170,122.522,0.888443
2.180,123.243,0.877814
2.190,123.347,0.883986
2.200,122.794,0.836415
2.210,121.669,0.736581
2.220,121.340,0.681376
2.230,122.275,0.464023
2.240,122.745,0.318554
2.250,181.786,0.237156
2.260,180.937,0.222237
2.270,179.318,0.225643
2.280,176.514,0.023436
2.290,33.135,0.062951
2.300,32.159,0.039279
2.310,32.265,0.123881
2.320,122.640,0.348326
2.330,122.401,0.481703
2.340,122.631,0.536775
2.350,123.508,0.427912
2.360,124.320,0.441255
2.370,124.138,0.673200
2.380,124.289,0.565480
2.390,124.424,0.515243
2.400,123.644,0.497631
2.410,122.580,0.516021
2.420,122.554,0.486508
2.430,122.984,0.479012
2.440,123.630,0.537157
2.450,123.231,0.422898
2.460,61.945,0.464233
2.470,61.964,0.663790
2.480,61.568,0.765468
2.490,61.702,0.773769
2.500,61.754,0.788050
2.510,61.963,0.727301
2.520,123.916,0.471816
2.530,123.539,0.588580
2.540,123.301,0.698280
2.550,122.765,0.783974
2.560,122.823,0.709068
2.570,122.947,0.733727
2.580,123.669,0.809303
2.590,124.287,0.740938
2.600,124.174,0.784923
2.610,124.169,0.747300
2.620,123.520,0.774846
2.630,123.132,0.670648
2.640,123.137,0.512866
2.650,308.715,0.345377
2.660,123.419,0.320207
2.670,123.203,0.221187
2.680,61.702,0.365233
2.690,61.897,0.498160
2.700,183.288,0.640830
2.710,182.903,0.782247
2.720,182.803,0.864242
2.730,182.638,0.854131
2.740,183.572,0.843793
2.750,184.441,0.849554
2.760,184.548,0.774189
2.770,184.447,0.701390
2.780,184.791,0.749687
2.790,184.648,0.477545
2.800,372.800,0.545804
2.810,372.373,0.822057
2.820,371.585,0.634794
2.830,61.842,0.519101
2.840,370.430,0.480799
2.850,370.115,0.423351
2.860,370.236,0.466958
2.870,370.076,0.547736
2.880,372.162,0.751368
2.890,372.537,0.663233
