time,frequency,confidence
0.000,655.987,0.055868
0.010,646.476,0.059176
0.020,1027.896,0.018078
0.030,43.296,0.374986
0.040,43.387,0.772431
0.050,43.259,0.666284
0.060,43.283,0.696622
0.070,43.353,0.540523
0.080,43.291,0.673567
0.090,43.390,0.536396
0.100,43.260,0.798091
0.110,43.357,0.701340
0.120,43.296,0.628483
0.130,43.314,0.720330
0.140,43.325,0.632504
0.150,43.356,0.687263
0.160,43.359,0.548748
0.170,43.224,0.706606
0.180,43.321,0.623311
0.190,43.253,0.551904
0.200,43.331,0.773086
0.210,43.305,0.711401
0.220,43.307,0.742046
0.230,43.290,0.561936
0.240,43.208,0.699948
0.250,43.332,0.628182
0.260,43.263,0.558741
0.270,43.339,0.721905
0.280,43.283,0.638881
0.290,43.276,0.708483
0.300,43.326,0.557359
0.310,43.227,0.689563
0.320,43.356,0.656998
0.330,43.329,0.701233
0.340,43.329,0.737996
0.350,43.217,0.560883
0.360,43.306,0.613722
0.370,43.375,0.485996
0.380,43.287,0.592692
0.390,43.314,0.497454
0.400,43.266,0.633888
0.410,43.371,0.742407
0.420,43.302,0.571414
0.430,43.321,0.639968
0.440,43.366,0.582617
0.450,43.315,0.637620
0.460,43.261,0.615975
0.470,43.156,0.547217
0.480,43.273,0.648481
0.490,43.194,0.315151
0.500,172.501,0.122968
0.510,172.691,0.175933
0.520,86.991,0.126076
0.530,435.322,0.148575
0.540,433.620,0.047598
0.550,432.342,0.113976
0.560,884.505,0.122254
0.570,440.570,0.526001
0.580,443.880,0.265091
0.590,445.372,0.021552
0.600,445.089,0.009032
0.610,448.940,0.015724
0.620,32.729,0.008132
0.630,128.911,0.003262
0.640,129.511,0.012750
0.650,1216.779,0.022728
0.660,282.986,0.014336
0.670,278.519,0.066245
0.680,931.056,0.105749
0.690,929.928,0.069477
0.700,275.709,0.162940
0.710,61.630,0.038910
0.720,242.640,0.062856
0.730,232.893,0.197059
0.740,230.464,0.304401
0.750,227.212,0.217014
0.760,225.942,0.110974
0.770,261.723,0.073834
0.780,1240.747,0.031623
0.790,38.218,0.020824
0.800,46.010,0.078436
0.810,45.842,0.152472
0.820,46.233,0.221815
0.830,45.639,0.067218
0.840,45.195,0.016750
0.850,187.791,0.007972
0.860,188.019,0.013922
0.870,154.768,0.034252
0.880,973.612,0.088160
0.890,987.105,0.036694
0.900,389.445,0.022718
0.910,386.405,0.038272
0.920,380.714,0.056296
0.930,377.527,0.078782
0.940,1127.615,0.053781
0.950,934.238,0.034325
0.960,895.788,0.023537
0.970,147.433,0.047640
0.980,446.912,0.028681
0.990,401.668,0.047542
1.000,399.447,0.088342
1.010,397.747,0.121222
1.020,460.439,0.046772
1.030,34.608,0.037504
1.040,1878.009,0.068007
1.050,61.406,0.061841
1.060,58.615,0.142198
1.070,233.541,0.073025
1.080,58.186,0.249116
1.090,234.639,0.439412
1.100,236.143,0.587620
1.110,479.478,0.178802
1.120,477.096,0.449914
1.130,470.209,0.748501
1.140,468.184,0.827212
1.150,469.763,0.801681
1.160,469.020,0.777682
1.170,471.588,0.493323
1.180,477.053,0.229162
1.190,477.714,0.099413
1.200,480.807,0.060515
1.210,986.132,0.098086
1.220,275.645,0.063557
1.230,275.549,0.141257
1.240,238.800,0.182486
1.250,236.897,0.376068
1.260,198.445,0.474634
1.270,196.646,0.659516
1.280,196.827,0.806137
1.290,197.306,0.869748
1.300,199.237,0.824072
1.310,203.880,0.828218
1.320,207.363,0.879149
1.330,208.933,0.910092
1.340,209.540,0.767526
1.350,210.150,0.596910
1.360,212.555,0.416931
1.370,245.085,0.389979
1.380,250.968,0.630070
1.390,248.284,0.780224
1.400,247.102,0.887531
1.410,246.952,0.924267
1.420,246.861,0.934398
1.430,246.325,0.924171
1.440,245.828,0.945634
1.450,244.713,0.945747
1.460,243.197,0.913017
1.470,240.434,0.864165
1.480,237.616,0.802065
1.490,236.017,0.727745
1.500,235.860,0.549325
1.510,241.326,0.503956
1.520,243.579,0.387815
1.530,243.955,0.176095
1.540,242.212,0.048654
1.550,1955.250,0.032618
1.560,1953.526,0.026002
1.570,1954.889,0.045117
1.580,1964.095,0.080826
1.590,274.933,0.049747
1.600,257.846,0.367924
1.610,247.369,0.652567
1.620,244.903,0.813040
1.630,244.680,0.905486
1.640,244.381,0.937593
1.650,243.451,0.932686
1.660,243.370,0.881340
1.670,242.139,0.754201
1.680,241.451,0.643888
1.690,240.815,0.473365
1.700,234.119,0.433447
1.710,232.389,0.232081
1.720,273.471,0.233494
1.730,235.994,0.436739
1.740,228.989,0.469430
1.750,226.227,0.641998
1.760,224.026,0.834973
1.770,221.294,0.897218
1.780,217.950,0.926746
1.790,215.969,0.935915
1.800,214.573,0.905111
1.810,215.017,0.902867
1.820,218.379,0.770918
1.830,224.767,0.705779
1.840,233.335,0.666867
1.850,239.271,0.889111
1.860,243.230,0.925929
1.870,246.446,0.926116
1.880,248.101,0.955261
1.890,248.238,0.944429
1.900,246.628,0.883969
1.910,242.763,0.786985
1.920,231.395,0.474978
1.930,224.322,0.802971
1.940,221.725,0.793249
1.950,223.268,0.726436
1.960,232.608,0.575228
1.970,239.572,0.823388
1.980,242.793,0.896330
1.990,245.790,0.930470
2.000,247.696,0.945180
2.010,248.483,0.937354
2.020,247.683,0.923739
2.030,245.215,0.902803
2.040,241.144,0.838712
2.050,238.050,0.770866
2.060,234.815,0.737993
2.070,232.825,0.637376
2.080,233.116,0.542572
2.090,236.264,0.409641
2.100,240.893,0.453762
2.110,242.556,0.464874
2.120,246.265,0.362091
2.130,250.252,0.645682
2.140,246.451,0.813286
2.150,244.964,0.768844
2.160,240.625,0.643952
2.170,236.428,0.565207
2.180,243.513,0.441546
2.190,248.314,0.496720
2.200,251.107,0.486541
2.210,252.862,0.477505
2.220,247.122,0.462353
2.230,245.681,0.158561
2.240,987.098,0.119245
2.250,146.578,0.155546
2.260,456.571,0.223182
2.270,1815.802,0.192589
2.280,1819.751,0.413249
2.290,1838.087,0.333694
2.300,1878.113,0.339448
2.310,1943.076,0.189639
2.320,1949.280,0.283020
2.330,1962.114,0.267107
2.340,1960.232,0.254867
2.350,1960.449,0.125538
2.360,1969.189,0.049614
2.370,1792.022,0.035977
2.380,1760.696,0.056122
2.390,1793.002,0.029979
2.400,1865.955,0.032089
2.410,1853.392,0.014576
2.420,248.360,0.023400
2.430,242.859,0.173518
2.440,239.863,0.741711
2.450,239.413,0.752665
2.460,240.488,0.529269
2.470,241.411,0.500157
2.480,472.858,0.206606
2.490,468.157,0.209513
2.500,475.840,0.224566
2.510,483.790,0.124340
2.520,32.671,0.148541
2.530,131.002,0.147404
2.540,147.923,0.208140
2.550,140.250,0.068209
2.560,44.734,0.023120
2.570,161.641,0.026329
2.580,178.540,0.390568
2.590,177.821,0.773647
2.600,178.155,0.874714
2.610,177.142,0.925437
2.620,177.257,0.945319
2.630,178.616,0.921912
2.640,181.170,0.934370
2.650,184.277,0.873884
2.660,189.091,0.768402
2.670,195.567,0.710961
2.680,202.036,0.727157
2.690,208.754,0.791782
2.700,213.340,0.890078
2.710,216.615,0.869318
2.720,221.022,0.765295
2.730,235.146,0.515585
2.740,243.235,0.737130
2.750,246.733,0.905370
2.760,248.267,0.948835
2.770,249.100,0.908243
2.780,247.799,0.889113
2.790,245.055,0.831446
2.800,242.070,0.675056
2.810,241.488,0.598955
2.820,239.270,0.317267
2.830,259.391,0.376458
2.840,255.852,0.701235
2.850,253.369,0.809008
2.860,250.319,0.901719
2.870,249.175,0.873694
2.880,246.569,0.871149
2.890,242.818,0.817206
2.900,238.934,0.649140
2.910,237.857,0.439647
2.920,220.913,0.312054
2.930,982.725,0.068098
2.940,986.999,0.025408
2.950,251.573,0.292040
2.960,251.612,0.610862
2.970,249.578,0.779753
2.980,247.921,0.900229
2.990,247.428,0.924710
3.000,246.669,0.917351
3.010,245.702,0.929065
3.020,243.591,0.803087
3.030,240.969,0.685681
3.040,240.477,0.544697
3.050,244.127,0.461688
3.060,242.955,0.404305
3.070,272.965,0.445683
3.080,266.453,0.548959
3.090,266.334,0.746807
3.100,266.010,0.927709
3.110,266.100,0.968486
3.120,266.366,0.958843
3.130,267.648,0.946023
3.140,269.416,0.956270
3.150,271.736,0.958397
3.160,274.200,0.949082
3.170,278.078,0.918155
3.180,285.996,0.823433
3.190,292.292,0.902165
3.200,295.829,0.957484
3.210,296.885,0.949955
3.220,296.502,0.952083
3.230,295.690,0.973240
3.240,295.005,0.978123
3.250,294.571,0.976120
3.260,294.020,0.969916
3.270,293.686,0.962857
3.280,293.761,0.959477
3.290,293.637,0.951793
3.300,293.243,0.930677
3.310,293.108,0.924280
3.320,292.518,0.933298
3.330,292.060,0.944864
3.340,290.878,0.944760
3.350,289.195,0.852132
3.360,284.965,0.812880
3.370,279.553,0.832049
3.380,278.722,0.844572
3.390,279.182,0.727944
3.400,277.518,0.644383
3.410,278.902,0.496836
3.420,281.821,0.495300
3.430,279.331,0.521396
3.440,273.210,0.391882
3.450,269.753,0.496529
3.460,301.718,0.385226
3.470,280.293,0.324789
3.480,275.515,0.378411
3.490,303.943,0.313233
3.500,237.088,0.407024
3.510,303.321,0.165352
3.520,300.572,0.163928
3.530,1773.483,0.178756
3.540,301.427,0.173905
3.550,302.210,0.432808
3.560,304.693,0.311907
3.570,305.164,0.061014
3.580,306.029,0.238801
3.590,302.290,0.105830
3.600,298.259,0.137569
3.610,1193.846,0.062426
3.620,1199.675,0.072261
3.630,1838.074,0.398541
3.640,1859.652,0.314174
3.650,1896.690,0.459261
3.660,1902.134,0.441369
3.670,1928.540,0.286685
3.680,1937.435,0.298463
3.690,1898.942,0.282251
3.700,1888.142,0.387207
3.710,1882.649,0.456576
3.720,1871.715,0.473844
3.730,1857.583,0.382757
3.740,1938.058,0.364505
3.750,1952.507,0.661138
3.760,1966.803,0.809024
3.770,1969.365,0.765597
3.780,1956.436,0.777074
3.790,1953.201,0.750888
3.800,1951.679,0.739136
3.810,1951.820,0.677204
3.820,1954.021,0.438381
3.830,1957.833,0.123823
3.840,1958.148,0.032400
3.850,1957.876,0.021403
3.860,587.946,0.015104
3.870,299.190,0.033249
3.880,294.065,0.066964
3.890,291.853,0.055732
3.900,291.992,0.027580
3.910,438.529,0.072271
3.920,442.192,0.125895
3.930,356.872,0.233010
3.940,364.716,0.218294
3.950,359.187,0.202506
3.960,430.802,0.187778
3.970,447.594,0.662521
3.980,452.202,0.858960
3.990,453.991,0.849169
4.000,455.610,0.737783
4.010,443.497,0.279183
4.020,303.038,0.635122
4.030,299.317,0.888995
4.040,298.290,0.933764
4.050,296.449,0.724074
4.060,292.150,0.573986
4.070,292.066,0.794385
4.080,292.372,0.912945
4.090,293.086,0.929846
4.100,293.239,0.947137
4.110,292.803,0.928704
4.120,291.265,0.928301
4.130,290.687,0.870392
4.140,291.100,0.741538
4.150,283.286,0.421624
4.160,272.557,0.766785
4.170,273.344,0.713256
4.180,289.856,0.502077
4.190,294.722,0.847835
4.200,297.329,0.949464
4.210,297.835,0.966382
4.220,297.051,0.945826
4.230,295.742,0.968511
4.240,293.862,0.955163
4.250,291.222,0.900861
4.260,290.280,0.844552
4.270,291.982,0.842690
4.280,294.355,0.859337
4.290,296.033,0.895531
4.300,295.712,0.936704
4.310,294.470,0.963642
4.320,294.047,0.970572
4.330,294.522,0.971654
4.340,295.466,0.958992
4.350,296.731,0.923492
4.360,297.103,0.903067
4.370,298.069,0.814810
4.380,303.353,0.606093
4.390,318.332,0.787516
4.400,322.929,0.848011
4.410,326.555,0.886082
4.420,328.866,0.821378
4.430,329.529,0.657814
4.440,325.286,0.272391
4.450,242.099,0.565966
4.460,350.473,0.360521
4.470,352.549,0.465220
4.480,351.691,0.746680
4.490,355.843,0.860892
4.500,360.200,0.866785
4.510,365.316,0.895692
4.520,369.433,0.672444
4.530,369.491,0.766907
4.540,372.061,0.769414
4.550,383.625,0.565688
4.560,395.241,0.646489
4.570,404.037,0.623735
4.580,206.719,0.562996
4.590,214.181,0.586753
4.600,218.486,0.616942
4.610,220.787,0.581227
4.620,223.049,0.499172
4.630,230.378,0.424227
4.640,238.520,0.629983
4.650,242.932,0.756989
4.660,244.483,0.479092
4.670,495.742,0.303625
4.680,500.264,0.496135
4.690,499.520,0.489345
4.700,245.464,0.284031
4.710,240.318,0.368715
4.720,238.128,0.611478
4.730,237.228,0.749890
4.740,238.443,0.817285
4.750,239.556,0.815170
4.760,241.001,0.873217
4.770,240.491,0.689638
4.780,241.483,0.346939
4.790,297.236,0.557062
4.800,304.326,0.746521
4.810,310.005,0.750065
4.820,316.019,0.569735
4.830,322.506,0.575917
4.840,325.766,0.649781
4.850,326.765,0.676106
4.860,491.084,0.528709
4.870,492.686,0.506459
4.880,496.039,0.421581
4.890,498.960,0.244044
4.900,571.317,0.251783
4.910,489.060,0.313457
4.920,484.582,0.555855
4.930,484.195,0.706882
4.940,484.324,0.734875
4.950,484.287,0.457948
4.960,571.726,0.357429
4.970,572.009,0.533161
4.980,566.280,0.334158
