time,frequency,confidence
0.000,32.514,0.078819
0.010,42.953,0.780696
0.020,43.003,0.778917
0.030,43.104,0.810490
0.040,43.238,0.781110
0.050,43.136,0.801502
0.060,43.134,0.796354
0.070,43.049,0.786175
0.080,43.172,0.816566
0.090,43.056,0.817765
0.100,43.061,0.819521
0.110,43.219,0.815460
0.120,43.102,0.817966
0.130,43.055,0.797418
0.140,43.113,0.796046
0.150,43.169,0.827299
0.160,43.095,0.809295
0.170,43.092,0.805601
0.180,43.136,0.777548
0.190,42.959,0.762875
0.200,43.052,0.816033
0.210,43.126,0.788787
0.220,43.195,0.813996
0.230,43.141,0.783106
0.240,43.177,0.781749
0.250,43.152,0.703332
0.260,42.998,0.739498
0.270,42.970,0.793029
0.280,43.118,0.749537
0.290,43.194,0.778037
0.300,43.088,0.765593
0.310,43.036,0.775284
0.320,43.049,0.766911
0.330,43.078,0.772399
0.340,43.109,0.763855
0.350,43.119,0.783556
0.360,43.137,0.825448
0.370,42.932,0.771174
0.380,42.926,0.794192
0.390,42.979,0.756295
0.400,43.068,0.771793
0.410,43.179,0.775499
0.420,43.160,0.798667
0.430,43.120,0.813197
0.440,43.039,0.772013
0.450,43.089,0.733516
0.460,43.057,0.716838
0.470,43.129,0.775672
0.480,43.149,0.749775
0.490,42.935,0.729331
0.500,42.999,0.790093
0.510,43.038,0.788396
0.520,43.090,0.768416
0.530,43.102,0.750424
0.540,43.167,0.797737
0.550,43.136,0.819683
0.560,43.002,0.774096
0.570,42.996,0.781802
0.580,43.060,0.756012
0.590,43.127,0.819689
0.600,42.969,0.757453
0.610,43.091,0.751381
0.620,43.180,0.782733
0.630,43.106,0.778524
0.640,43.159,0.798639
0.650,43.119,0.736327
0.660,43.239,0.801702
0.670,42.974,0.732289
0.680,42.932,0.765184
0.690,43.128,0.735736
0.700,43.090,0.774493
0.710,43.184,0.837137
0.720,43.073,0.793425
0.730,43.088,0.807944
0.740,43.005,0.742311
0.750,42.992,0.788717
0.760,43.193,0.783610
0.770,43.121,0.799505
0.780,43.143,0.830830
0.790,42.998,0.757136
0.800,43.029,0.789753
0.810,43.036,0.728699
0.820,43.132,0.801524
0.830,43.208,0.751059
0.840,43.135,0.796809
0.850,43.074,0.825702
0.860,43.043,0.732953
0.870,43.095,0.792303
0.880,43.078,0.760292
0.890,43.144,0.808992
0.900,43.100,0.702575
0.910,42.932,0.768177
0.920,42.989,0.810733
0.930,43.055,0.751127
0.940,43.097,0.834745
0.950,43.137,0.784570
0.960,43.149,0.815982
0.970,43.075,0.771171
0.980,42.961,0.771718
0.990,43.067,0.722869
1.000,43.162,0.763699
1.010,43.178,0.828460
1.020,43.088,0.752129
1.030,43.088,0.796551
1.040,43.103,0.764905
1.050,43.141,0.803819
1.060,43.162,0.825399
1.070,43.153,0.794330
1.080,43.104,0.809820
1.090,42.978,0.744457
1.100,42.926,0.790276
1.110,43.121,0.759352
1.120,43.161,0.827553
1.130,43.152,0.806364
1.140,43.128,0.792280
1.150,43.080,0.812874
1.160,43.100,0.795423
1.170,43.133,0.792191
1.180,43.167,0.757953
1.190,43.135,0.810147
1.200,43.094,0.776586
1.210,43.037,0.748787
1.220,43.105,0.829269
1.230,43.171,0.801051
1.240,43.205,0.825900
1.250,43.075,0.760002
1.260,43.110,0.777457
1.270,43.089,0.774576
1.280,43.119,0.765054
1.290,43.153,0.779667
1.300,43.119,0.781825
1.310,43.170,0.821281
1.320,42.971,0.746810
1.330,42.920,0.790374
1.340,43.074,0.769173
1.350,43.112,0.796039
1.360,43.253,0.857313
1.370,43.204,0.827159
1.380,43.266,0.836441
1.390,43.032,0.756231
1.400,43.067,0.771744
1.410,43.305,0.748327
1.420,43.234,0.781877
1.430,43.256,0.847791
1.440,43.086,0.759551
1.450,43.117,0.804684
1.460,43.038,0.732860
1.470,43.125,0.791045
1.480,43.259,0.754334
1.490,43.143,0.777058
1.500,43.106,0.842640
1.510,43.028,0.768883
1.520,42.999,0.792164
1.530,43.067,0.774612
1.540,43.187,0.844245
1.550,43.182,0.754032
1.560,43.106,0.769530
1.570,43.089,0.832891
1.580,43.118,0.776177
1.590,43.238,0.832288
1.600,43.165,0.756379
1.610,43.186,0.781793
1.620,43.164,0.753585
1.630,42.986,0.754811
1.640,43.069,0.814412
1.650,43.172,0.775301
1.660,43.224,0.854702
1.670,43.111,0.769016
1.680,43.089,0.788504
1.690,43.074,0.757219
1.700,43.074,0.786406
1.710,43.118,0.821730
1.720,43.179,0.820873
1.730,43.140,0.847429
1.740,43.024,0.769012
1.750,42.985,0.790917
1.760,43.107,0.770133
1.770,43.165,0.806242
1.780,43.175,0.807639
1.790,43.187,0.792212
1.800,43.105,0.811906
1.810,43.050,0.768152
1.820,42.976,0.763802
1.830,43.108,0.741759
1.840,43.160,0.819386
1.850,43.129,0.801285
1.860,43.086,0.748840
1.870,43.085,0.814966
1.880,43.098,0.801481
1.890,43.154,0.835109
1.900,43.123,0.769892
1.910,43.102,0.813940
1.920,43.083,0.806206
1.930,43.051,0.777750
1.940,43.109,0.815436
1.950,43.167,0.818849
1.960,43.191,0.844370
1.970,43.024,0.758533
1.980,43.079,0.774342
1.990,43.154,0.741955
2.000,43.206,0.793489
2.010,43.201,0.835635
2.020,43.092,0.784805
2.030,43.139,0.776533
2.040,42.943,0.741056
2.050,42.951,0.766478
2.060,43.143,0.748206
2.070,43.133,0.806546
2.080,43.215,0.856349
2.090,43.110,0.824968
2.100,43.134,0.832530
2.110,43.052,0.773051
2.120,43.085,0.809741
2.130,43.265,0.792289
2.140,43.139,0.798216
2.150,43.167,0.825163
2.160,43.113,0.763894
2.170,43.161,0.808538
2.180,43.104,0.764643
2.190,43.127,0.797635
2.200,43.229,0.722657
2.210,43.104,0.788313
2.220,42.997,0.814225
2.230,43.039,0.742958
2.240,43.125,0.794624
2.250,43.131,0.786918
2.260,43.200,0.815474
2.270,43.167,0.743225
2.280,42.951,0.774424
2.290,43.009,0.820086
2.300,43.095,0.780670
2.310,43.182,0.850985
2.320,43.155,0.793355
2.330,43.150,0.802474
2.340,43.111,0.761527
2.350,43.048,0.771920
2.360,43.148,0.782747
2.370,43.222,0.782884
2.380,43.214,0.835678
2.390,43.130,0.754737
2.400,43.112,0.797228
2.410,43.059,0.753271
2.420,43.112,0.783703
2.430,43.192,0.810369
2.440,43.174,0.780581
2.450,43.087,0.798174
2.460,43.038,0.760953
2.470,42.979,0.774997
2.480,43.092,0.756729
2.490,43.151,0.832263
2.500,43.150,0.816572
2.510,43.113,0.784747
2.520,43.144,0.823189
2.530,43.173,0.814502
2.540,43.232,0.803062
2.550,43.170,0.754222
2.560,43.175,0.798411
2.570,43.187,0.778054
2.580,43.136,0.770918
2.590,43.165,0.828591
2.600,43.170,0.800277
2.610,43.210,0.823549
2.620,43.096,0.771572
2.630,43.151,0.798887
